M, COHEN, Frédéric, M7, 8151
F, PONCET, Adele, M8, 5374
F, DESCAMPS, Alicia, M8, 7060
F, PORTAL, Sarah, M7, 8940
F, MARCHAL, Sara, M9, 7290
F, GALLET, Juliette, M1, 7809
F, BERTHELOT, Angelina, M8, 4291
F, BONNARD, Emma, M2, 8291
F, SERRA, Andrea, M8, 9939
F, PERROT, Nina, ELITE_1, 8652
F, GAUCHER, Fanny, M2, 5234
F, LELOUP, Chloe, M7, 4480
F, CLOUET, Lana, M1, 5407
F, DELANOE, Clementine, M2, 5049
F, CHEVALLIER, Maelys, ELITE_2, 5065
F, GUILLAUME, Ambre, ELITE_2, 8022
F, GROSS, Rose, M2, 9295
F, BARRA, Morgane, ELITE_1, 4905
F, GUY, Rose, M6, 10786
F, MALLARD, Alice, M8, 9870
F, ROY, Marion, M1, 4373
F, BEAULIEU, Gabrielle, M3, 6346
F, SIMOES, Charlotte, M8, 8053
F, POUVREAU, Anna, M4, 9500
F, GUILLAUMIN, Gabrielle, M7, 5874
F, SILVESTRE, Leonie, M9, 6545
F, CATHALA, Elsa, M1, 10354
F, NIVET, Juliette, ELITE_2, 7680
F, BLOT, Sarah, M8, 4125
F, LEMAITRE, Maelle, M5, 9407
F, HENON, Lise, M9, 8775
F, PRADEL, Nina, M8, 6594
F, BASSET, Laura, M2, 9961
F, BLANCO, Valentine, ELITE_1, 9315
F, ORY, Clemence, M2, 7116
F, FAUVEL, Morgane, M7, 9097
F, RAYMOND, Candice, M4, 6920
F, BLOUIN, Agathe, M5, 10396
F, GAUCHER, Julia, M3, 9093
F, DUGAST, Flavie, M4, 7472
F, LEBAS, Sara, M2, 10157
F, MULOT, Flavie, M6, 7093
F, BABIN, Lina, M4, 8429
F, BUISINE, Lana, M6, 8330
F, BRASSART, Anna, M4, 4441
F, BERNARDIN, Morgane, M2, 9538
F, LEMASSON, Marie, M9, 10015
F, BILLON, Sofia, M2, 8993
F, DA, Jeanne, M4, 8459
F, BERTHON, Lena, M8, 5269
F, FUCHS, Meline, ELITE_1, 7929
F, GAMBIER, Rose, M3, 7008
F, LERICHE, Faustine, M6, 9332
F, JOUVE, Oceane, M2, 8830
F, COCHET, Amelie, M5, 8105
F, MARTINEAU, Heloise, M2, 10013
F, TALBOT, Jade, ELITE_1, 4371
F, CORTES, Mathilde, M6, 7368
F, TRAVERS, Agathe, M5, 9582
F, GUINOT, Amandine, M9, 4680
F, ACHARD, Anna, M5, 9637
F, CARLIER, Lucie, M6, 8218
F, FEUILLET, Ninon, M9, 4262
F, FAUCHEUX, Faustine, M3, 10114
F, MORIN, Rose, M4, 10601
F, COLOMB, Alicia, M3, 3960
F, MARTEL, Faustine, M7, 7966
F, LEVESQUE, Nina, M1, 7323
F, BOUCHET, Pauline, M1, 9508
F, GIRARDOT, Ambre, ELITE_1, 8129
F, GAZEAU, Cassandra, ELITE_1, 4643
F, GUEGUEN, Gabrielle, M4, 8087
F, MORIN, Agathe, M9, 6349
F, DERRIEN, Amandine, ELITE_2, 6650
F, GRIMALDI, Clara, M1, 7542
F, BELLIARD, Camille, M1, 9388
F, THEVENIN, Laurine, M9, 9018
F, MOULIN, Clemence, M9, 8180
F, PEYRON, Laura, M4, 6796
F, LEBLANC, Fanny, M6, 7844
F, RAIMBAULT, Margot, ELITE_2, 4787
F, BARDON, Ambre, M9, 4630
F, PIERRAT, Romane, M7, 7078
F, LE, Zoe, M4, 9812
F, PAULET, Lily, ELITE_2, 9605
F, MAYER, Lea, ELITE_1, 9521
F, FEVRE, Marion, M1, 9948
F, HUGOT, Claire, M9, 8484
F, JONCOUR, Ninon, M3, 7972
F, ROUANET, Margaux, ELITE_1, 9851
F, BOISSEAU, Clementine, M4, 8610
F, DUCASSE, Noemie, M3, 4707
F, DEROUET, Morgane, M3, 7233
F, METAIS, Louane, M5, 8308
F, GOMES, Nina, ELITE_1, 7500
F, JAMES, Camille, M5, 4245
F, MARTEL, Luna, M4, 4692
F, GUILLEMAIN, Sara, M6, 8793
F, ORTEGA, Carla, M1, 3898
F, DALLE, Manon, M4, 8389
F, MACE, Maelys, M5, 8864
F, FLAHAUT, Justine, M3, 10013
F, BRASSEUR, Clara, M9, 8502
F, GRILLET, Leane, ELITE_2, 8426
F, THERY, Agathe, M8, 6232
F, RICHAUD, Lilou, M6, 6862
F, DECLERCQ, Loane, M2, 9484
F, ROUTIER, Celia, M4, 3992
F, LIEVRE, Emilie, M1, 5063
F, TIXIER, Elise, M5, 7374
F, HUGOT, Anais, M2, 7345
F, BONNEFOY, Pauline, ELITE_1, 4822
F, BOUSSEAU, Olivia, M8, 10089
F, BONNET, Lina, ELITE_1, 3945
F, JESTIN, Anais, M3, 7017
F, LE, Cloe, ELITE_2, 9948
F, SCHWARTZ, Loane, M8, 6078
F, ROUILLARD, Alice, M2, 10736
F, BECHET, Maelle, M4, 5746
F, MANCINI, Romane, M5, 5105
F, BOURGES, Eloise, ELITE_1, 5372
F, GRONDIN, Fanny, ELITE_1, 5085
F, FERRIER, Leonie, M3, 7196
F, TARDIF, Lea, M5, 8505
F, QUINTIN, Ninon, M4, 8433
F, MARTINI, Oceane, ELITE_2, 8290
F, CARPENTIER, Lucie, M9, 10602
F, CORTES, Emma, M8, 6027
F, BERNIER, Carla, ELITE_1, 5410
F, PHAM, Laurine, M7, 9743
F, BAILLET, Romane, M6, 4287
F, ROMAN, Cloe, M4, 3686
F, RIVIERE, Pauline, M4, 6671
F, BASTIEN, Cloe, M1, 10136
F, DUJARDIN, Sara, M4, 10300
F, DUPOUY, Anais, M7, 8810
F, VANNIER, Andrea, M8, 3780
F, JACQUET, Maelys, M6, 10004
F, GESLIN, Oceane, M3, 4130
F, BORDE, Cassandra, M5, 7173
F, GRUEL, Maelys, M5, 4217
F, ORTEGA, Rose, M7, 9748
F, BODET, Candice, M4, 6017
F, GROLLEAU, Leane, M8, 3695
F, SIMOES, Anna, ELITE_2, 5311
F, DUCHESNE, Loane, M4, 8334
F, LE, Romane, M9, 10525
F, ROTH, Lisa, M9, 9485
F, VERDIER, Chloe, M1, 4518
F, LECOINTE, Zoe, M8, 8723
F, DELPIERRE, Loane, M1, 5424
F, BONHOMME, Marine, M1, 10490
F, CADOT, Marion, M5, 5192
F, GESLIN, Lena, M8, 8803
F, BASSET, Gabrielle, ELITE_2, 6611
F, LAPIERRE, Sara, M5, 6817
F, BARRET, Marine, M7, 10215
F, DOUAY, Cloe, ELITE_2, 10478
F, BILLARD, Ambre, ELITE_1, 7112
F, MARQUE, Leane, M7, 6311
F, DUQUESNE, Julie, M9, 7245
F, COSTA, Marie, M2, 7681
F, VALETTE, Clarisse, M5, 9531
F, BECK, Melissa, M5, 10747
F, COPIN, Camille, M9, 6516
F, DAUPHIN, Celia, M3, 7036
F, VERGNAUD, Anais, M6, 9229
F, LEHMANN, Coline, ELITE_2, 8530
F, LORIOT, Maelys, ELITE_2, 7391
F, PASCUAL, Amelie, M2, 5301
F, DELAUNAY, Juliette, M3, 4703
F, RODRIGUEZ, Elise, M9, 3686
F, LAM, Leonie, M5, 9370
F, PICHOT, Maeva, M2, 8153
F, MERLE, Laurine, M7, 9348
F, COMPAGNON, Lola, ELITE_1, 7307
F, MILLOT, Eloise, M9, 5599
F, ROSSI, Yasmine, M6, 7826
F, ROUSSEAU, Lana, M8, 6720
F, LAM, Julie, M8, 5426
F, BARET, Marie, M9, 8678
F, QUESNEL, Mathilde, ELITE_2, 9914
F, HERMAN, Anais, M7, 9869
F, CHARLES, Marie, M6, 3624
F, BONNET, Lena, M2, 4856
F, CANET, Marine, M1, 6187
F, MIGNOT, Laura, ELITE_2, 4998
F, JEROME, Zoe, M7, 4969
F, DUCROS, Louane, M1, 5916
F, RICHAUD, Angelina, M6, 3653
F, HUCHET, Louise, M2, 6421
F, LE, Julia, M2, 6987
F, BUNEL, Yasmine, M4, 4952
F, FOURRIER, Romane, M6, 9468
F, MARY, Lena, M2, 6273
F, CHARLOT, Coline, M6, 3819
F, FORESTIER, Clementine, M3, 5919
F, DAVID, Capucine, M9, 7063
F, RENAUD, Maelle, M6, 4272
F, FOURNET, Lina, ELITE_1, 5680
F, MAROT, Cloe, M3, 4484
F, ROUSSEAU, Ambre, ELITE_2, 8903
F, BENOIST, Leane, M3, 7915
F, MEVEL, Ninon, M4, 4831
F, GRENIER, Olivia, M9, 5307
F, PILLET, Chloe, M7, 7255
F, MOMO, Maelle, M2, 7761
F, GUERARD, Ambre, M5, 7174
F, GICQUEL, Marie, M5, 5333
F, BLOUIN, Margaux, ELITE_1, 5984
F, TALON, Mathilde, M1, 9244
F, HERMANN, Zoe, M4, 7114
F, DIDIER, Nina, M9, 4682
F, PANNETIER, Flavie, M2, 6308
F, JEANNOT, Faustine, M8, 7142
F, BARTHE, Mathilde, M4, 7588
F, GIROUD, Eva, M2, 5686
F, JUAN, Leonie, ELITE_1, 10214
F, LEFORT, Leane, M9, 9408
F, VALETTE, Elena, M8, 4345
F, PARISOT, Lilou, M1, 3915
F, DUPRE, Leane, ELITE_2, 6887
F, SIMOES, Amelie, M1, 9665
F, SERVANT, Faustine, M8, 5452
F, BERAUD, Louane, M8, 8572
F, FEVRE, Lily, M9, 7617
F, MARTIN, Jeanne, M2, 8125
F, PEYRON, Loane, M3, 7293
F, GODART, Margaux, ELITE_1, 10578
F, THIBAUD, Luna, M1, 4118
F, BLIN, Juliette, ELITE_1, 10509
F, GIRAULT, Maelle, M1, 7586
F, LAMBLIN, Emilie, ELITE_1, 6864
F, FOUCHE, Fanny, ELITE_1, 6485
F, MICHELET, Chloe, M3, 7418
F, LE, Lou, M8, 7461
F, CHARLIER, Clara, ELITE_1, 7414
F, PINET, Anna, M7, 10492
F, HERMAN, Juliette, M4, 10076
F, SAVARY, Elise, ELITE_1, 7988
F, GOUJON, Juliette, ELITE_2, 4822
F, CASANOVA, Candice, M8, 9499
F, ROLLIN, Andrea, M2, 5830
F, GIRAULT, Pauline, M5, 4856
F, BERTHIER, Cloe, M5, 6308
F, JOUVE, Alice, M7, 7283
F, FORTIER, Lou, M9, 7841
F, CHESNEL, Myriam, ELITE_2, 9743
F, BUCHER, Louane, M2, 8537
F, LION, Candice, M7, 5585
F, CADET, Ambre, M1, 6017
F, VILLEMIN, Celia, M5, 5377
F, ROSE, Amelie, M2, 6297
F, VOISIN, Solene, M7, 10559
F, ROUANET, Faustine, M1, 8569
F, GARCIN, Alice, M2, 8435
F, JOURDAIN, Emilie, M7, 5718
F, COLSON, Lily, M2, 4619
F, GERARD, Jeanne, M9, 4564
F, CHABOT, Fanny, M2, 10328
F, FERRER, Lise, M2, 8021
F, CAUVIN, Louane, M7, 6902
F, VIAUD, Lilou, M9, 6043
F, PERON, Romane, M4, 4143
F, PENOT, Marion, M8, 6946
F, SEITE, Justine, M2, 6037
F, ROUSSELLE, Emma, M8, 5032
F, BOUTEILLER, Flavie, M3, 5235
F, RENAUX, Lola, M6, 7093
F, DUBOC, Marie, M4, 6296
F, BARROIS, Andrea, M9, 9934
F, LOYER, Marie, ELITE_1, 10687
F, RENAULT, Clemence, M8, 4005
F, JOSEPH, Lana, M2, 7034
F, CLEMENT, Loane, ELITE_2, 5615
F, GIROUX, Anais, M4, 5846
F, ROUGE, Lea, M1, 5509
F, TURPIN, Chloe, M9, 4716
F, LALANNE, Laura, M8, 10701
F, CADIOU, Margaux, ELITE_2, 9955
F, DUPIN, Lily, M9, 9311
F, SELLIER, Luna, M4, 7139
F, LACOUR, Elsa, M3, 3608
F, BARRIERE, Marine, M4, 9250
F, CANU, Maelle, ELITE_2, 9208
F, SILVESTRE, Capucine, ELITE_1, 9450
F, DELACROIX, Melissa, M9, 4517
F, BRASSART, Salome, M3, 7037
F, LERAT, Marie, M6, 5807
F, METZGER, Sarah, M2, 6339
F, COLLE, Myriam, M3, 8207
F, GIL, Lise, M4, 5421
F, SERVANT, Alexia, M7, 7803
F, GONTIER, Clemence, M8, 4395
F, BOUCHET, Anais, M8, 6493
F, LETELLIER, Candice, M7, 9706
F, GIRAULT, Pauline, M5, 6725
F, LAM, Lucie, M9, 8963
F, DUCHEMIN, Eloise, M6, 3627
F, CHABAUD, Clementine, M4, 9610
F, VERGNE, Oceane, M8, 7879
F, BONTEMPS, Lilou, M1, 6016
F, HUMBERT, Emma, M2, 6072
F, GALLET, Loane, M8, 4112
F, ROUTIER, Jeanne, ELITE_1, 6788
F, JESTIN, Emma, M8, 10395
F, MALLARD, Amandine, M9, 6883
F, BUREL, Valentine, M1, 9011
F, ALONSO, Elisa, M5, 7846
F, BLONDEL, Elisa, ELITE_2, 9620
F, GALTIER, Rose, M3, 5878
F, GOUGEON, Margaux, ELITE_2, 5933
F, MONTAGNE, Victoria, M9, 5416
F, DOUCET, Luna, M5, 4895
F, MOUNIER, Fanny, M3, 9739
F, MONFORT, Maeva, M4, 6028
F, LAMOUR, Clemence, M3, 4251
F, LOPES, Jeanne, M7, 3773
F, BEAUDOIN, Ines, M8, 7282
F, AYMARD, Alicia, M1, 10402
F, COTTE, Loane, M5, 7201
F, PERSON, Anais, M3, 6445
F, BATAILLE, Carla, ELITE_1, 6826
F, BOIS, Capucine, M3, 4054
F, PIERSON, Maelle, M6, 6031
